Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
16615,22079,2016-02-01 00:00:00.000000 UTC,19300,14.7414,14.7817
16615,22079,2016-02-01 00:00:00.000000 UTC,20400,15.6078,14.9391
16615,22079,2016-02-01 00:00:00.000000 UTC,26200,14.8853,14.7622
16615,22079,2016-02-01 00:00:00.000000 UTC,26800,14.8602,14.6066
16615,22079,2016-02-01 00:00:00.000000 UTC,29800,15.575,14.2683
16615,22079,2016-02-01 00:00:00.000000 UTC,33000,14.6388,14.4085
16615,22079,2016-02-01 00:00:00.000000 UTC,36700,15.4268,14.9121
16615,22079,2016-02-01 00:00:00.000000 UTC,37300,15.6413,15.588
16615,22079,2016-02-01 00:00:00.000000 UTC,39700,14.8839,14.6762
16615,22079,2016-02-01 00:00:00.000000 UTC,43000,15.0524,15.1117
16615,22079,2016-02-01 00:00:00.000000 UTC,43200,15.3523,15.2008
16615,22079,2016-02-01 00:00:00.000000 UTC,43400,15.6694,15.3354
16615,22079,2016-02-01 00:00:00.000000 UTC,50200,16.1208,15.7395
16615,22079,2016-02-01 00:00:00.000000 UTC,53200,16.3173,15.644
16615,22079,2016-02-01 00:00:00.000000 UTC,56600,15.8767,15.7308
16615,22079,2016-02-01 00:00:00.000000 UTC,56900,16.3909,15.9728
16615,22079,2016-02-01 00:00:00.000000 UTC,57200,17.0657,16.3298
16615,22079,2016-02-01 00:00:00.000000 UTC,63500,16.3634,16.0512
16615,22079,2016-02-01 00:00:00.000000 UTC,64200,17.6969,16.977
16615,22079,2016-02-01 00:00:00.000000 UTC,70400,16.8423,16.3771
16615,22079,2016-02-01 00:00:00.000000 UTC,73300,26.108,25.9908
16615,22079,2016-02-01 00:00:00.000000 UTC,77300,17.325,16.7129
16615,22079,2016-02-01 00:00:00.000000 UTC,77800,19.0652,17.5436
16615,22079,2016-02-01 00:00:00.000000 UTC,78000,18.917,17.9738
16615,22079,2016-02-01 00:00:00.000000 UTC,78100,21.3032,18.2152
16615,22079,2016-02-01 00:00:00.000000 UTC,83800,16.924,16.535
16615,22079,2016-02-01 00:00:00.000000 UTC,87600,16.6781,17.1962
16615,22079,2016-02-01 00:00:00.000000 UTC,88000,17.0915,17.5259
16615,22079,2016-02-01 00:00:00.000000 UTC,90600,17.1718,16.6906
16615,22079,2016-02-01 00:00:00.000000 UTC,93300,26.0326,27.1787
16615,22079,2016-02-01 00:00:00.000000 UTC,95100,17.7543,18.1652
16615,22079,2016-02-01 00:00:00.000000 UTC,97400,17.3106,16.8357
16615,22079,2016-02-01 00:00:00.000000 UTC,97500,17.6244,16.9659
16615,22079,2016-02-01 00:00:00.000000 UTC,98000,18.6651,17.7969
16615,22079,2016-02-01 00:00:00.000000 UTC,98300,21.3425,18.4496
16615,22079,2016-02-01 00:00:00.000000 UTC,98500,20.0546,18.9695
16615,22830,2016-02-01 00:00:00.000000 UTC,1600,30.1732,30.182
16615,22830,2016-02-01 00:00:00.000000 UTC,5100,27.8231,27.7129
16615,22830,2016-02-01 00:00:00.000000 UTC,5700,28.2868,28.1764
16615,22830,2016-02-01 00:00:00.000000 UTC,6100,28.4329,28.3218
16615,22830,2016-02-01 00:00:00.000000 UTC,6200,28.4346,28.3319
16615,22830,2016-02-01 00:00:00.000000 UTC,6300,28.4802,28.3294
16615,22830,2016-02-01 00:00:00.000000 UTC,16100,16.0946,19.32
16615,22830,2016-02-01 00:00:00.000000 UTC,23300,17.8848,23.6467
16615,22830,2016-02-01 00:00:00.000000 UTC,24600,25.4337,27.0794
16615,22830,2016-02-01 00:00:00.000000 UTC,42900,25.1754,27.3219
16615,22830,2016-02-01 00:00:00.000000 UTC,53600,25.6073,25.5705
16615,22830,2016-02-01 00:00:00.000000 UTC,55200,24.8006,27.7369
16615,22830,2016-02-01 00:00:00.000000 UTC,67500,24.3309,27.4409
16615,22830,2016-02-01 00:00:00.000000 UTC,68200,27.1458,28.9672
16615,22830,2016-02-01 00:00:00.000000 UTC,70700,22.942,22.486
16615,22830,2016-02-01 00:00:00.000000 UTC,76700,19.3221,19.2175
16615,22830,2016-02-01 00:00:00.000000 UTC,78000,21.8805,26.6391
16615,22830,2016-02-01 00:00:00.000000 UTC,82700,16.8679,17.0283
16615,22830,2016-02-01 00:00:00.000000 UTC,85700,27.4609,26.8826
16615,22830,2016-02-01 00:00:00.000000 UTC,88800,21.5007,21.0879
16615,22830,2016-02-01 00:00:00.000000 UTC,96100,22.1399,26.8442
16615,22830,2016-02-01 00:00:00.000000 UTC,97700,21.9154,27.9863
16615,23561,2016-02-01 00:00:00.000000 UTC,4000,26.3215,26.2273
16615,23561,2016-02-01 00:00:00.000000 UTC,4100,26.3717,26.2973
16615,23561,2016-02-01 00:00:00.000000 UTC,4200,26.4103,26.3493
16615,23561,2016-02-01 00:00:00.000000 UTC,4300,26.4351,26.3821
16615,23561,2016-02-01 00:00:00.000000 UTC,4400,26.4432,26.3934
16615,23561,2016-02-01 00:00:00.000000 UTC,4500,26.4305,26.3801
16615,23561,2016-02-01 00:00:00.000000 UTC,4600,26.3904,26.3367
16615,23561,2016-02-01 00:00:00.000000 UTC,11500,28.7679,28.3704
16615,23561,2016-02-01 00:00:00.000000 UTC,13900,20.1141,20.2728
16615,23561,2016-02-01 00:00:00.000000 UTC,16300,26.07,25.9126
16615,23561,2016-02-01 00:00:00.000000 UTC,16800,26.0842,25.9238
16615,23561,2016-02-01 00:00:00.000000 UTC,19400,22.7195,23.137
16615,23561,2016-02-01 00:00:00.000000 UTC,20000,17.1123,20.2382
16615,23561,2016-02-01 00:00:00.000000 UTC,22900,25.9236,25.7053
16615,23561,2016-02-01 00:00:00.000000 UTC,37700,19.463,23.3523
