Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
39261,28255,2016-02-15 02:16:40.000000 UTC,6670,1.45922,4.06481
39261,28255,2016-02-12 18:01:40.000000 UTC,8890,1.62776,9.48286
29093,28255,2016-02-03 09:46:40.000000 UTC,9250,1.79841,2.79118
39261,28255,2016-02-15 18:10:00.000000 UTC,6070,1.82564,3.01545
28255,39261,2016-02-21 03:30:00.000000 UTC,41650,1.84311,3.35759
39261,28255,2016-02-15 10:00:00.000000 UTC,6310,1.87155,4.15615
29093,28255,2016-02-02 04:45:00.000000 UTC,9130,1.87444,2.7164
16111,28255,2016-02-06 18:05:00.000000 UTC,9130,1.9245,2.55045
16111,28255,2016-02-06 18:05:00.000000 UTC,15010,1.95699,3.3292
29093,16111,2016-02-05 07:55:00.000000 UTC,2950,1.99678,2.22432
29093,28255,2016-02-05 22:50:00.000000 UTC,7210,1.99906,3.0203
29093,16111,2016-02-05 07:55:00.000000 UTC,28150,2.01059,2.35621
29093,28255,2016-02-05 10:20:00.000000 UTC,16390,2.01084,4.01183
29093,16111,2016-02-05 07:55:00.000000 UTC,19750,2.01213,2.14415
29093,16111,2016-02-04 22:31:40.000000 UTC,28390,2.02121,2.36051
39261,28255,2016-02-15 14:01:40.000000 UTC,18070,2.05433,4.82417
29093,28255,2016-02-01 00:46:40.000000 UTC,9070,2.07462,2.95557
29093,16111,2016-02-02 14:16:40.000000 UTC,29830,2.08215,2.58799
39261,28255,2016-02-15 02:16:40.000000 UTC,9730,2.0913,3.06313
29093,39261,2016-02-05 10:20:00.000000 UTC,15070,2.09586,3.24973
29093,39261,2016-02-03 09:46:40.000000 UTC,20770,2.09603,3.34214
29093,28255,2016-02-03 09:46:40.000000 UTC,21190,2.09901,2.80585
16111,28255,2016-02-08 23:45:00.000000 UTC,6970,2.10302,3.15252
29093,16111,2016-02-05 05:31:40.000000 UTC,25390,2.11049,2.46835
39261,28255,2016-02-12 20:45:00.000000 UTC,8830,2.11063,6.78823
29093,28255,2016-02-03 09:46:40.000000 UTC,33070,2.1188,3.31292
29093,28255,2016-02-04 09:16:40.000000 UTC,32050,2.11893,3.15331
39261,28255,2016-02-14 01:16:40.000000 UTC,34450,2.13276,7.44544
16111,28255,2016-02-07 15:10:00.000000 UTC,28930,2.13392,4.02097
16111,28255,2016-02-07 15:10:00.000000 UTC,11050,2.13489,3.75499
39261,28255,2016-02-15 14:01:40.000000 UTC,15190,2.13783,3.06074
39261,28255,2016-02-16 11:50:00.000000 UTC,23110,2.14269,5.0268
39261,28255,2016-02-16 11:50:00.000000 UTC,17230,2.14763,3.47284
29093,16111,2016-02-01 19:31:40.000000 UTC,30310,2.15097,2.6079
29093,28255,2016-02-04 09:16:40.000000 UTC,5110,2.15103,4.70211
29093,39261,2016-02-06 06:40:00.000000 UTC,26350,2.153,2.33384
29093,28255,2016-02-01 02:55:00.000000 UTC,9670,2.16271,2.79833
28255,29093,2016-02-19 15:55:00.000000 UTC,40270,2.16333,3.23118
16111,28255,2016-02-07 17:25:00.000000 UTC,26590,2.17407,2.75214
16111,28255,2016-02-07 17:25:00.000000 UTC,14710,2.17536,2.3475
29093,28255,2016-02-06 17:30:00.000000 UTC,26110,2.18685,2.8095
39261,28255,2016-02-15 02:16:40.000000 UTC,12730,2.18769,2.87205
29093,28255,2016-02-01 00:35:00.000000 UTC,6190,2.18874,3.09743
39261,28255,2016-02-15 22:25:00.000000 UTC,23770,2.19203,3.3715
16111,39261,2016-02-07 12:00:00.000000 UTC,7990,2.1945,7.85102
16111,28255,2016-02-10 16:01:40.000000 UTC,16570,2.20721,3.38888
29093,16111,2016-02-05 12:46:40.000000 UTC,25210,2.20886,2.98808
29093,28255,2016-02-04 09:16:40.000000 UTC,32110,2.21329,2.62944
16111,28255,2016-02-07 19:46:40.000000 UTC,33130,2.21875,2.7841
16111,29093,2016-02-06 22:46:40.000000 UTC,12130,2.227,3.18029
29093,28255,2016-02-02 15:45:00.000000 UTC,32350,2.23073,3.10738
29093,28255,2016-02-01 00:35:00.000000 UTC,21070,2.23084,2.94765
29093,28255,2016-02-05 07:55:00.000000 UTC,21970,2.23617,3.34978
39261,28255,2016-02-15 18:10:00.000000 UTC,8950,2.24679,4.81127
29093,16111,2016-02-01 00:46:40.000000 UTC,30790,2.24934,2.59921
29093,28255,2016-02-02 04:45:00.000000 UTC,21070,2.25174,2.76418
39261,28255,2016-02-15 14:01:40.000000 UTC,33070,2.25348,3.30162
16111,28255,2016-02-10 16:01:40.000000 UTC,25570,2.25546,3.17073
29093,39261,2016-02-04 20:15:00.000000 UTC,26590,2.25884,4.85536
16111,28255,2016-02-10 20:40:00.000000 UTC,26650,2.25952,2.96547
28255,29093,2016-02-20 21:40:00.000000 UTC,17290,2.26059,2.56735
29093,39261,2016-02-05 05:31:40.000000 UTC,32050,2.26098,2.35821
