Departure ID,Arrival ID,Departure Epoch,time-of-flight [s],Atom Delta-V [km/s],Lambert Delta-V [km/s]
29093,16111,2016-02-01 00:00:00.000000 UTC,159520,5.93708,5.64859
29093,16111,2016-02-01 00:00:00.000000 UTC,165130,5.94362,5.58005
29093,16111,2016-02-01 00:00:00.000000 UTC,181930,5.96113,5.64115
29093,16111,2016-02-01 00:00:00.000000 UTC,198760,6.00944,5.57028
29093,28255,2016-02-01 00:00:00.000000 UTC,95380,6.01528,5.53648
29093,16111,2016-02-01 00:00:00.000000 UTC,193150,6.01537,5.58282
29093,39261,2016-02-01 00:00:00.000000 UTC,87460,6.0214,6.45318
16111,29093,2016-02-01 00:00:00.000000 UTC,177580,6.02949,5.57473
29093,16111,2016-02-01 00:00:00.000000 UTC,176320,6.03069,5.69343
39261,28255,2016-02-01 00:00:00.000000 UTC,170080,6.0325,5.75392
39261,28255,2016-02-01 00:00:00.000000 UTC,158140,6.0342,5.72234
39261,28255,2016-02-01 00:00:00.000000 UTC,50680,6.03616,5.32716
29093,16111,2016-02-01 00:00:00.000000 UTC,153910,6.03724,5.74686
39261,28255,2016-02-01 00:00:00.000000 UTC,152170,6.04692,5.70628
39261,28255,2016-02-01 00:00:00.000000 UTC,164110,6.05116,5.73821
16111,29093,2016-02-01 00:00:00.000000 UTC,194500,6.05412,5.60104
16111,29093,2016-02-01 00:00:00.000000 UTC,211420,6.05483,5.6372
29093,16111,2016-02-01 00:00:00.000000 UTC,193120,6.06207,5.74081
16111,29093,2016-02-01 00:00:00.000000 UTC,217060,6.06225,5.65049
39261,28255,2016-02-01 00:00:00.000000 UTC,211780,6.06624,6.51421
29093,16111,2016-02-01 00:00:00.000000 UTC,170710,6.07503,5.76765
16111,29093,2016-02-01 00:00:00.000000 UTC,205780,6.08277,5.62444
29093,16111,2016-02-01 00:00:00.000000 UTC,209950,6.08935,5.65704
16111,29093,2016-02-01 00:00:00.000000 UTC,200140,6.10058,5.61232
16111,29093,2016-02-01 00:00:00.000000 UTC,222700,6.10929,5.66419
39261,28255,2016-02-01 00:00:00.000000 UTC,176050,6.11117,5.7695
29093,16111,2016-02-01 00:00:00.000000 UTC,204340,6.11474,5.67361
16111,29093,2016-02-01 00:00:00.000000 UTC,228340,6.12626,5.67822
16111,29093,2016-02-01 00:00:00.000000 UTC,233980,6.13257,5.69251
39261,28255,2016-02-01 00:00:00.000000 UTC,182020,6.13549,5.78498
16111,29093,2016-02-01 00:00:00.000000 UTC,239620,6.14551,5.70701
29093,16111,2016-02-01 00:00:00.000000 UTC,187510,6.15205,5.79782
29093,16111,2016-02-01 00:00:00.000000 UTC,181900,6.18375,5.8768
39261,28255,2016-02-01 00:00:00.000000 UTC,187990,6.1867,5.80036
29093,28255,2016-02-01 00:00:00.000000 UTC,113290,6.19029,5.6587
29093,16111,2016-02-01 00:00:00.000000 UTC,198700,6.19865,5.89444
29093,16111,2016-02-01 00:00:00.000000 UTC,204310,6.2017,5.83338
16111,29093,2016-02-01 00:00:00.000000 UTC,245260,6.2019,5.72169
16111,29093,2016-02-01 00:00:00.000000 UTC,250900,6.20834,5.7365
29093,16111,2016-02-01 00:00:00.000000 UTC,165100,6.21506,5.8714
29093,28255,2016-02-01 00:00:00.000000 UTC,119260,6.21721,5.69316
39261,28255,2016-02-01 00:00:00.000000 UTC,116320,6.23034,6.03762
29093,28255,2016-02-01 00:00:00.000000 UTC,101350,6.2432,5.58092
39261,28255,2016-02-01 00:00:00.000000 UTC,176020,6.25174,5.9923
29093,16111,2016-02-01 00:00:00.000000 UTC,176290,6.2557,5.98502
39261,28255,2016-02-01 00:00:00.000000 UTC,187960,6.26271,5.99833
29093,28255,2016-02-01 00:00:00.000000 UTC,131200,6.26779,5.75535
29093,16111,2016-02-01 00:00:00.000000 UTC,221110,6.28164,5.87218
39261,28255,2016-02-01 00:00:00.000000 UTC,146170,6.29504,5.99491
29093,28255,2016-02-01 00:00:00.000000 UTC,172990,6.30301,5.92911
29093,16111,2016-02-01 00:00:00.000000 UTC,193090,6.30707,5.9774
29093,28255,2016-02-01 00:00:00.000000 UTC,113260,6.32174,5.94877
29093,28255,2016-02-01 00:00:00.000000 UTC,125230,6.32851,5.72526
39261,28255,2016-02-01 00:00:00.000000 UTC,193930,6.33025,6.0025
39261,28255,2016-02-01 00:00:00.000000 UTC,50710,6.33432,4.54007
39261,28255,2016-02-01 00:00:00.000000 UTC,199900,6.33846,6.00736
16111,29093,2016-02-01 00:00:00.000000 UTC,256510,6.34304,5.91451
29093,16111,2016-02-01 00:00:00.000000 UTC,254740,6.34697,5.86046
29093,16111,2016-02-01 00:00:00.000000 UTC,209890,6.34711,5.98426
39261,28255,2016-02-01 00:00:00.000000 UTC,211840,6.3597,6.01892
29093,28255,2016-02-01 00:00:00.000000 UTC,119230,6.36702,5.96629
29093,16111,2016-02-01 00:00:00.000000 UTC,226690,6.3718,6.00059
29093,28255,2016-02-01 00:00:00.000000 UTC,155080,6.37197,5.86074
39261,28255,2016-02-01 00:00:00.000000 UTC,217810,6.3743,6.02553
39261,28255,2016-02-01 00:00:00.000000 UTC,223780,6.39534,6.03265
29093,16111,2016-02-01 00:00:00.000000 UTC,187480,6.41485,6.08924
29093,16111,2016-02-01 00:00:00.000000 UTC,265930,6.41554,5.92424
16111,29093,2016-02-01 00:00:00.000000 UTC,250870,6.43233,5.91046
29093,16111,2016-02-01 00:00:00.000000 UTC,215500,6.43404,5.91974
29093,28255,2016-02-01 00:00:00.000000 UTC,137140,6.44815,6.01318
39261,28255,2016-02-01 00:00:00.000000 UTC,229750,6.44818,6.04023
29093,16111,2016-02-01 00:00:00.000000 UTC,170680,6.45409,6.13311
16111,29093,2016-02-01 00:00:00.000000 UTC,273430,6.4638,5.93199
29093,28255,2016-02-01 00:00:00.000000 UTC,143110,6.47087,6.0275
16111,28255,2016-02-01 00:00:00.000000 UTC,92410,6.47351,5.85828
29093,28255,2016-02-01 00:00:00.000000 UTC,131170,6.48507,5.9983
39261,29093,2016-02-01 00:00:00.000000 UTC,222790,6.49747,6.71407
29093,16111,2016-02-01 00:00:00.000000 UTC,198670,6.50272,6.18531
29093,28255,2016-02-01 00:00:00.000000 UTC,143140,6.50849,5.8106
16111,28255,2016-02-01 00:00:00.000000 UTC,104350,6.5181,5.88456
29093,28255,2016-02-01 00:00:00.000000 UTC,125200,6.52411,5.98273
29093,28255,2016-02-01 00:00:00.000000 UTC,107260,6.52869,6.33404
16111,29093,2016-02-01 00:00:00.000000 UTC,262150,6.5458,5.91952
29093,28255,2016-02-01 00:00:00.000000 UTC,107290,6.54605,5.92989
